      36    37    43     7    0.1660500000
      36    37    44    15    0.0020250000
      36    37    50    16    0.0048750000
      36    37    51    24    0.0002250000
      36    37    57    25    0.0002250000
      36    37    58    15    0.0020250000
      36    37    64    16    0.0004500000
      36    43    44    16    0.0013500000
      36    43    50    17    0.0034500000
      36    43    51    25    0.0000000000
      36    43    57    26    0.0000000000
      36    43    58    16    0.0018000000
      36    43    64    17    0.0006750000
      36    44    50     7    0.0170250000
      36    44    51    15    0.0024750000
      36    44    57    16    0.0024000000
      36    44    58    24    0.0009000000
      36    44    64    25    0.0003000000
      36    50    51    16    0.0014250000
      36    50    57    17    0.0014250000
      36    50    58    25    0.0008250000
      36    50    64    26    0.0001500000
      36    51    57     7    0.7457250000
      36    51    58    15    0.0307500000
      36    51    64    16    0.0137250000
      36    57    58    16    0.0296250000
      36    57    64    17    0.0144000000
      36    58    64     7    0.3181500000
      36    37    43     7    0.4173000000
      36    37    44    15    0.1381500000
      36    37    50    16    0.0030000000
      36    37    51    24    0.0406500000
      36    37    57    25    0.0011250000
      36    37    58    15    0.0018000000
      36    37    64    16    0.0003750000
      36    43    44    16    0.1414500000
      36    43    50    17    0.0031500000
      36    43    51    25    0.0647250000
      36    43    57    26    0.0018000000
      36    43    58    16    0.0030000000
      36    43    64    17    0.0003750000
      36    44    50     7    0.0018000000
      36    44    51    15    0.2767500000
      36    44    57    16    0.0083250000
      36    44    58    24    0.0106500000
      36    44    64    25    0.0036750000
      36    50    51    16    0.0008250000
      36    50    57    17    0.0000000000
      36    50    58    25    0.0000000000
      36    50    64    26    0.0000000000
      36    51    57     7    0.0132000000
      36    51    58    15    0.0286500000
      36    51    64    16    0.0096750000
      36    57    58    16    0.0005250000
      36    57    64    17    0.0000000000
      36    58    64     7    0.0884250000
      36    37    43     7    0.0011250000
      36    37    44    15    0.0021000000
      36    37    50    16    0.0014250000
      36    37    51    24    0.0006000000
      36    37    57    25    0.0006750000
      36    37    58    15    0.0016500000
      36    37    64    16    0.0000000000
      36    43    44    16    0.0000750000
      36    43    50    17    0.0000000000
      36    43    51    25    0.0000000000
      36    43    57    26    0.0000750000
      36    43    58    16    0.0000750000
      36    43    64    17    0.0000000000
      36    44    50     7    0.0264000000
      36    44    51    15    0.1533000000
      36    44    57    16    0.1842000000
      36    44    58    24    0.1563000000
