36	0.0809012077613525	0.0011853865865581	11364	7	0
36	0.0523658526927142	0.0009953037055503	11364	15	1
36	0.0138782338965156	0.0002042872050561	22728	16	2
36	0.0050390311510032	0.0001420027712788	11364	17	3
36	0.0182692317845830	0.0004928405347785	5682	24	4
36	0.0074068307814150	0.0002613356607763	11364	25	5
36	0.0025364704329462	0.0001365417519672	5682	26	6
68	0.0342532125000001	0.0013888925111672	4000	15	0
68	0.0266453625000000	0.0012693048881788	4000	31	1
68	0.0070765312500000	0.0002727503016867	8000	32	2
68	0.0028836375000000	0.0002107195518966	4000	33	3
68	0.0092738250000000	0.0006649785689195	2000	48	4
68	0.0038989500000000	0.0003095959025074	4000	49	5
68	0.0015847125000000	0.0002114496531149	2000	50	6
132	0.0203427937500000	0.0012280992300516	4000	31	0
132	0.0107636062500000	0.0007670393825493	4000	63	1
132	0.0034511343750000	0.0001936084527944	8000	64	2
132	0.0010785000000000	0.0001055743095082	4000	65	3
132	0.0044233875000000	0.0004524889481868	2000	96	4
132	0.0017893687500000	0.0001766991152498	4000	97	5
132	0.0006034875000000	0.0001156781986263	2000	98	6
196	0.0128675062500000	0.0009570001800385	4000	47	0
196	0.0063775875000000	0.0005619484643697	4000	95	1
196	0.0020808000000000	0.0001471714361393	8000	96	2
196	0.0007809187500000	0.0001175242748857	4000	97	3
196	0.0019557375000000	0.0002633108297655	2000	144	4
196	0.0009889875000000	0.0001730835674518	4000	145	5
196	0.0003326625000000	0.0000814739060178	2000	146	6
260	0.0095784141919890	0.0006645329975175	5792	63	0
260	0.0048759323204420	0.0004378930822225	5792	127	1
260	0.0013695981526243	0.0000999878379242	11584	128	2
260	0.0005075189917127	0.0000510234565682	5792	129	3
260	0.0017707872928177	0.0003061967188123	2896	192	4
260	0.0003969095303867	0.0000560318808412	5792	193	5
260	0.0001697082182320	0.0000281600216168	2896	194	6
